Begin date/time is: Tue Mar 14 08:33:00 2017
        used time is 0 s 0 ms.
line num is :5251
Gen = 103,  Average Cost = 117741.612500, Average Fit = 8964.894713, Min Cost = 106706, Current MinCost = 106706, Current worstCost = 126829
Gen = 104,  Average Cost = 117378.575000, Average Fit = 9132.077598, Min Cost = 106706, Current MinCost = 106706, Current worstCost = 126628
Gen = 105,  Average Cost = 117604.512500, Average Fit = 7861.527962, Min Cost = 106706, Current MinCost = 108768, Current worstCost = 125562
Gen = 106,  Average Cost = 117148.287500, Average Fit = 9467.312819, Min Cost = 106706, Current MinCost = 108697, Current worstCost = 126714
Gen = 107,  Average Cost = 116292.062500, Average Fit = 10243.251041, Min Cost = 106706, Current MinCost = 108834, Current worstCost = 126612
Gen = 108,  Average Cost = 115891.937500, Average Fit = 7381.018136, Min Cost = 106706, Current MinCost = 108837, Current worstCost = 123329
Gen = 109,  Average Cost = 116093.512500, Average Fit = 9161.835487, Min Cost = 106706, Current MinCost = 108729, Current worstCost = 125326
Gen = 110,  Average Cost = 116234.787500, Average Fit = 7368.448770, Min Cost = 106706, Current MinCost = 107045, Current worstCost = 123679
Gen = 111,  Average Cost = 116177.950000, Average Fit = 8944.174727, Min Cost = 106538, Current MinCost = 106538, Current worstCost = 125234
Gen = 112,  Average Cost = 115327.637500, Average Fit = 13045.423187, Min Cost = 106538, Current MinCost = 107159, Current worstCost = 128466
Gen = 113,  Average Cost = 114911.062500, Average Fit = 8920.554729, Min Cost = 106538, Current MinCost = 107125, Current worstCost = 123910
Gen = 114,  Average Cost = 115072.275000, Average Fit = 8306.281226, Min Cost = 106538, Current MinCost = 107045, Current worstCost = 123458
Gen = 115,  Average Cost = 114206.125000, Average Fit = 11638.111600, Min Cost = 106538, Current MinCost = 107324, Current worstCost = 125894
Gen = 116,  Average Cost = 113613.737500, Average Fit = 8931.115613, Min Cost = 106538, Current MinCost = 107368, Current worstCost = 122585
Gen = 117,  Average Cost = 113677.687500, Average Fit = 6406.280045, Min Cost = 106538, Current MinCost = 107368, Current worstCost = 120117
Gen = 118,  Average Cost = 114024.350000, Average Fit = 9760.133902, Min Cost = 106538, Current MinCost = 107468, Current worstCost = 123835
Gen = 119,  Average Cost = 113914.100000, Average Fit = 8184.275855, Min Cost = 106538, Current MinCost = 107579, Current worstCost = 122143
Gen = 120,  Average Cost = 114207.687500, Average Fit = 10097.532918, Min Cost = 106538, Current MinCost = 108683, Current worstCost = 124329
Gen = 121,  Average Cost = 114223.062500, Average Fit = 8699.904400, Min Cost = 106538, Current MinCost = 108263, Current worstCost = 122966
